ticker,company,open,high,low,close,volume
AAPL,Apple Inc,182.50,185.20,181.90,184.75,54321000
MSFT,Microsoft Corp,375.10,378.90,373.50,377.20,22145000
GOOGL,Alphabet Inc,140.30,142.80,139.70,141.95,18763000
AMZN,Amazon.com Inc,178.60,181.40,177.20,180.85,31204000
NVDA,NVIDIA Corp,495.20,512.30,492.10,508.75,43890000
META,Meta Platforms,485.30,490.10,482.70,488.40,15672000
TSLA,Tesla Inc,238.40,245.70,236.10,242.90,87654000
NFLX,Netflix Inc,610.20,618.50,607.30,615.80,6234000
AMD,Advanced Micro Devices,165.70,170.20,164.40,168.90,38921000
INTC,Intel Corp,42.30,43.10,41.90,42.75,29845000
